San Diego 1
FREMONT ACD ENGINEERING/DESIGN|Los Angeles|Pomona||FREMONT ACADEMY OF ENGINEERING AND DESIGN|Los Angeles|Pomona Unified|91766
GAHR HIGH SCHOOL|Los Angeles|Cerritos||GAHR (RICHARD) HIGH|Los Angeles|ABC Unified|90703
GARDENA HIGH SCHOOL|Los Angeles|Gardena||GARDENA SENIOR HIGH|Los Angeles|Los Angeles Unified|90248
GIRLS ACADEMIC LEADERSHIP ACAD|Los Angeles|Los Angeles||GIRLS ACADEMIC LEADERSHIP ACADEMY, DR. MICHELLE KI|Los Angeles|Los Angeles Unified|90019
GLEN A WILSON HIGH SCHOOL|Los Angeles|Hacienda Heights||GLEN A. WILSON HIGH|Los Angeles|Hacienda la Puente Unified|91745
GREEN DESIGN STEAM ACADEMY|Los Angeles|Los Angeles||DIEGO RIVERA LEARNING COMPLEX GREEN DESIGN STEAM A|Los Angeles|Los Angeles Unified|90001
GRETCHEN WHITNEY HIGH SCHOOL|Los Angeles|Cerritos||WHITNEY (GRETCHEN) HIGH|Los Angeles|ABC Unified|90703
HAWTHORNE MATH & SCIENCE ACAD|Los Angeles|Hawthorne||HAWTHORNE MATH AND SCIENCE ACADEMY|Los Angeles|Hawthorne|90250
HIGH TECH HIGH LA|Los Angeles|Van Nuys||HIGH TECH LA|Los Angeles|High Tech LA|91406
HILDA L SOLIS LEARNING ACDMY|Los Angeles|Los Angeles||HILDA L. SOLIS LEARNING ACADEMY SCHOOL OF TECHNOLO|Los Angeles|Los Angeles Unified|90022
HOLLYWOOD HIGH SCHOOL|Los Angeles|Los Angeles||HOLLYWOOD SENIOR HIGH|Los Angeles|Los Angeles Unified|90028
HUMANITAS ACADEMY ART AND TECH|Los Angeles|Los Angeles||HUMANITAS ACADEMY OF ART AND TECHNOLOGY AT ESTEBAN|Los Angeles|Los Angeles Unified|90063
HUMANITIES AND ARTS ACADEMY-LA|Los Angeles|Harbor City||HUMANITIES AND ARTS (HARTS) ACADEMY OF LOS ANGELES|Los Angeles|Los Angeles Unified|90710
HUNTINGTON PARK HIGH SCHOOL|Los Angeles|Huntington Park||HUNTINGTON PARK SENIOR HIGH|Los Angeles|Los Angeles Unified|90255
HUNTINGTON PARK INST APLD MED|Los Angeles|Huntington Park||LINDA ESPERANZA MARQUEZ HIGH A HUNTINGTON PARK INS|Los Angeles|Los Angeles Unified|90255
ILEAD ONLINE CHARTER SCHOOL|Los Angeles|Acton||iLEAD ONLINE|Los Angeles|iLEAD Online|93510
INTERNATIONAL STUDIES LEARNING|Los Angeles|South Gate||INTERNATIONAL STUDIES LEARNING CENTER AT LEGACY HI|Los Angeles|Los Angeles Unified|90280
JAMES A GARFIELD HIGH SCHOOL|Los Angeles|Los Angeles||JAMES A. GARFIELD SENIOR HIGH|Los Angeles|Los Angeles Unified|90022
JOHN A ROWLAND HIGH SCHOOL|Los Angeles|Rowland Heights||JOHN A. ROWLAND HIGH|Los Angeles|Rowland Unified|91748
JOHN BURROUGHS HIGH SCHOOL|Los Angeles|Burbank||BURROUGHS HIGH|Los Angeles|Burbank Unified|91506
JOHN C FREMONT HIGH SCHOOL|Los Angeles|Los Angeles||JOHN C. FREMONT SENIOR HIGH|Los Angeles|Los Angeles Unified|90003
JOHN F KENNEDY HIGH SCHOOL|Los Angeles|Granada Hills||JOHN F. KENNEDY HIGH|Los Angeles|Los Angeles Unified|91344
JOHN GLENN HIGH SCHOOL|Los Angeles|Norwalk||JOHN H. GLENN HIGH|Los Angeles|Norwalk-La Mirada Unified|90650
JOHN H FRANCIS POLYTECHNIC HS|Los Angeles|Sun Valley||JOHN H. FRANCIS POLYTECHNIC|Los Angeles|Los Angeles Unified|91352
JOHN MARSHALL FUNDAMENTAL SCH|Los Angeles|Pasadena||MARSHALL FUNDAMENTAL|Los Angeles|Pasadena Unified|91104
JOHN MARSHALL HIGH SCHOOL|Los Angeles|Los Angeles||JOHN MARSHALL SENIOR HIGH|Los Angeles|Los Angeles Unified|90027
JUAN RODRIGUEZ CABRILLO HS|Los Angeles|Long Beach||CABRILLO HIGH|Los Angeles|Long Beach Unified|90810
